loop,time,pressure
0,0.10202145576477051,245
2,3.472079038619995,40
3,4.476081609725952,41
4,5.4781177043914795,0
5,6.481058359146118,9
7,8.485482692718506,239
8,9.487410306930542,233
9,10.491405963897705,35
10,11.494337797164917,34
11,12.497077226638794,1
12,13.50025725364685,8
13,14.50227952003479,239
14,15.50564956665039,238
15,16.508902549743652,211
16,17.511924743652344,23
17,18.51493787765503,31
18,19.518086671829224,8
19,20.520821809768677,6
22,23.52876329421997,226
23,24.531978607177734,25
24,25.535290479660034,25
25,26.53950834274292,4
26,27.542051076889038,2
28,29.545891761779785,225
29,30.548462629318237,223
30,31.551084995269775,21
31,32.55398201942444,21
32,33.55706000328064,3
33,34.5595440864563,223
34,35.56161856651306,225
35,36.56471300125122,221
36,37.56743144989014,224
37,38.57072567939758,26
38,39.57352638244629,225
39,40.5759334564209,224
40,41.578046560287476,224
41,42.58133387565613,222
42,43.58418297767639,222
43,44.5865216255188,223
44,45.588956117630005,221
45,46.59185194969177,220
46,47.59448194503784,220
47,48.597636699676514,221
48,49.60060405731201,221
49,50.60293126106262,222
50,51.605146169662476,221
51,52.60774326324463,219
52,53.6106812953949,220
53,54.61300754547119,220
54,55.615912199020386,219
55,56.61819076538086,220
56,57.621026277542114,219
57,58.62411046028137,219
58,59.626487255096436,220
59,60.62920689582825,220
60,61.63173985481262,217
61,62.634692907333374,220
62,63.63717746734619,219
63,64.63968181610107,218
64,65.64255690574646,221
65,66.64542198181152,218
66,67.64759802818298,219
67,68.64995503425598,219
68,69.65306901931763,219
69,70.65620613098145,219
70,71.65842652320862,219
71,72.66108632087708,219
72,73.66416335105896,218
73,74.66817831993103,220
74,75.6710216999054,221
75,76.67372179031372,218
76,77.67663073539734,217
77,78.6798779964447,220
78,79.68251132965088,219
79,80.68399310112,213
80,81.6865541934967,210
81,82.6888370513916,212
82,83.69215893745422,249
83,84.69479131698608,213
84,85.69780778884888,214
85,86.7008650302887,212
86,87.70414566993713,213
87,88.70593333244324,215
88,89.70808291435242,214
89,90.71141791343689,215
90,91.71438193321228,213
91,92.71741533279419,216
92,93.72057247161865,215
93,94.72351360321045,214
94,95.72592282295227,213
95,96.72842192649841,216
96,97.73071336746216,214
97,98.7334475517273,214
